Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
皇族电子竞技俱乐部RNG,产品经理,25k-50k,37.5,移动产品/APP,“氛围好”,,,
90玩,产品经理,9k-11k,10.0,游戏,"“加班补贴,年终奖,节日福利,绩效奖金”",,,
ZStack,产品经理,10k-16k,13.0,云计算,"“阿里云战投,好福利,好氛围,行业领跑”",,,
"米谟科技（Mint Muse, Inc.）",产品经理,9k-18k,13.5,移动互联网,"“跨界产品,扁平管理,活力团队,五险一金”",,,
缔安,产品经理,10k-16k,13.0,产品设计,“PaaS”,,,
鼐鼐家软件,产品经理,10k-20k,15.0,用户研究,"“弹性工作,创新开发,激励性薪酬”",,,
张逗张花,产品经理,8k-15k,11.5,产品策划,"“活性假期,5险一金,福利多多”",,,
GeexFinance,产品经理,10k-20k,15.0,金融,"“菁英团队,高速发展,优渥福利,快速成长”",,,
华院数据,产品经理,15k-25k,20.0,大数据,“公司环境好，工作氛围佳，领导非常Nice”,,,
独立日,产品经理,18k-25k,21.5,产品设计,“福利好 晋升空间大”,,,
Datatist,产品经理,15k-30k,22.5,大数据,"“硅谷团队,弹性办公,架构扁平,晋升平台”",,,
眸事网,产品经理,12k-20k,16.0,电商,"“大数据平台,技术驱动,活力年轻,季度奖金”",,,
Student.com,产品经理,15k-25k,20.0,数据分析,“活力团队，弹性工作，发展空间大”,,,
italki,产品经理,15k-25k,20.0,教育,"“全球用户,在线教育,国际团队,福利满分”",,,
新核云,产品经理,20k-30k,25.0,企业服务,"“岗位晋升,扁平管理,技能培训,弹性工作”",,,
皇族电子竞技俱乐部RNG,产品经理,25k-50k,37.5,移动产品/APP,“氛围好”,,,
90玩,产品经理,9k-11k,10.0,游戏,"“加班补贴,年终奖,节日福利,绩效奖金”",,,
ZStack,产品经理,10k-16k,13.0,云计算,"“阿里云战投,好福利,好氛围,行业领跑”",,,
"米谟科技（Mint Muse, Inc.）",产品经理,9k-18k,13.5,移动互联网,"“跨界产品,扁平管理,活力团队,五险一金”",,,
缔安,产品经理,10k-16k,13.0,产品设计,“PaaS”,,,
鼐鼐家软件,产品经理,10k-20k,15.0,用户研究,"“弹性工作,创新开发,激励性薪酬”",,,
张逗张花,产品经理,8k-15k,11.5,产品策划,"“活性假期,5险一金,福利多多”",,,
GeexFinance,产品经理,10k-20k,15.0,金融,"“菁英团队,高速发展,优渥福利,快速成长”",,,
华院数据,产品经理,15k-25k,20.0,大数据,“公司环境好，工作氛围佳，领导非常Nice”,,,
独立日,产品经理,18k-25k,21.5,产品设计,“福利好 晋升空间大”,,,
Datatist,产品经理,15k-30k,22.5,大数据,"“硅谷团队,弹性办公,架构扁平,晋升平台”",,,
眸事网,产品经理,12k-20k,16.0,电商,"“大数据平台,技术驱动,活力年轻,季度奖金”",,,
Student.com,产品经理,15k-25k,20.0,数据分析,“活力团队，弹性工作，发展空间大”,,,
italki,产品经理,15k-25k,20.0,教育,"“全球用户,在线教育,国际团队,福利满分”",,,
新核云,产品经理,20k-30k,25.0,企业服务,"“岗位晋升,扁平管理,技能培训,弹性工作”",,,
智众医疗,产品经理,15k-30k,22.5,医疗健康,"“扁平化管理,上升空间大,带薪年假,高温补贴”",,,
钱研社,产品经理,10k-15k,12.5,金融,"“福利好,发展空间大,年度旅游”",,,
UCloud,产品经理,15k-30k,22.5,产品设计,"“六险一金,领导好,独角兽公司,弹性工作”",,,
微知,产品经理,20k-30k,25.0,技能培训,“扁平化管理，牛人团队”,,,
