Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
Power idea,视觉设计师,8k-12k,10,,,
鱼泡泡,视觉设计师,10k-20k,15,,,
游族网络,UI设计师,10k-20k,15,,,
有鱼金融科技,UI设计,10k-20k,15,,,
赫浦,UI设计工程师,10k-18k,14,,,
爱燃烧,视觉设计师,5k-10k,7.5,,,
豆朋,视觉设计师,6k-8k,7,,,
AIDIVI,UI交互设计师,10k-15k,12.5,,,
上海君润网络,游戏ui设计师,5k-10k,7.5,,,
拍拍贷,UI设计实习生,3k-4k,3.5,,,
NIO蔚来,HMI高级UI设计师,25k-35k,30,,,
咿呀,视觉设计师,10k-12k,11,,,
方趣网络,UI助理,8k-9k,8.5,,,
同程艺龙,资深视觉设计,15k-25k,20,,,
阿里文娱,阿里游戏--UI设计师,20k-40k,30,,,
锐赢企业,视觉设计师,10k-18k,14,,,
GLiMMER微光,视觉设计师,6k-10k,8,,,
志在数据,ui设计师,8k-10k,9,,,
哔哩哔哩,视觉设计实习生 (MJ000439),2k-3k,2.5,,,
口袋云,ui设计师,10k-15k,12.5,,,
上海欧仙文化传播,视觉设计师,6k-12k,9,,,
net-show,视觉设计师,8k-10k,9,,,
字节跳动,UI设计师,15k-30k,22.5,,,
京东集团,资深ui设计师,20k-30k,25,,,
旗发科技,UI设计师,15k-20k,17.5,,,
ezbuy,资深UI设计师,15k-30k,22.5,,,
虎扑,高级UI视觉设计师,12k-20k,16,,,
同程艺龙,高级UI设计师,15k-25k,20,,,
英语流利说,资深UI设计师,15k-30k,22.5,,,
优复教育,UI设计师,8k-16k,12,,,
喜马拉雅,资深UI设计师,13k-25k,19,,,
zilliz,视觉设计师,8k-15k,11.5,,,
虎扑,资深UI视觉设计师,20k-35k,27.5,,,
字节跳动,视觉设计师,15k-30k,22.5,,,
Airwallex空中云汇,UI Designer,15k-30k,22.5,,,
峰途网络,UI设计师,12k-18k,15,,,
美团点评,UI设计师,15k-30k,22.5,,,
ezbuy,UI设计师,10k-20k,15,,,
喜马拉雅,高级UI设计师,13k-25k,19,,,
