Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
菜花传媒,高级产品经理,15k-25k,20,,,
纳米盒,产品经理,10k-20k,15,,,
小灶能力派,高级产品经理,20k-30k,25,,,
哈啰出行,助力车产品经理,18k-36k,27,,,
九曳供应链,高级产品经理,20k-25k,22.5,,,
麦子科技,高级产品经理,20k-30k,25,,,
瑛麒动漫,高级产品经理,18k-30k,24,,,
角萃科技,产品经理,10k-20k,15,,,
海万科技,产品经理,8k-15k,11.5,,,
快仓智能仓储,高级产品经理,20k-25k,22.5,,,
纬修师,产品经理,12k-18k,15,,,
爱客CRM,产品经理,15k-30k,22.5,,,
NIO蔚来,产品经理,15k-30k,22.5,,,
Datatist,高级产品经理,20k-40k,30,,,
Sign4X,产品经理,10k-20k,15,,,
如禹投资,产品经理,20k-25k,22.5,,,
亚细亚集团,产品经理,15k-25k,20,,,
ParkLU,产品经理,15k-25k,20,,,
海万科技,产品经理,9k-15k,12,,,
万向区块链,产品经理,15k-30k,22.5,,,
魔视智能,产品工程师,15k-20k,17.5,,,
信用生活,产品经理,15k-28k,21.5,,,
VIP陪练,产品经理,12k-18k,15,,,
上海睿渠,高级产品经理,15k-20k,17.5,,,
狮博,产品经理,10k-20k,15,,,
TutorABC英语,产品经理,15k-25k,20,,,
海万科技,产品经理,8k-15k,11.5,,,
拜安科技,产品经理,15k-25k,20,,,
河姆渡电子商务有限公司,高级产品经理,18k-25k,21.5,,,
天会皓闻,高级产品经理,30k-50k,40,,,
VIP陪练,产品经理,15k-20k,17.5,,,
万科,产品经理,20k-40k,30,,,
薄荷,高级产品经理,15k-25k,20,,,
爱库存,产品经理,15k-25k,20,,,
微盟,产品经理（萌店）,10k-20k,15,,,
陆金所,25115Z-互联网金融产品经理,13k-26k,19.5,,,
捞月狗,产品经理,15k-30k,22.5,,,
票牛网,用户端 产品经理,15k-28k,21.5,,,
溢米辅导,高级产品经理,18k-30k,24,,,
东方头条,产品经理,15k-25k,20,,,
银通征信,产品经理,15k-20k,17.5,,,
海万科技,产品经理,10k-15k,12.5,,,
爱享到,高级产品经理,30k-50k,40,,,
淘集集,产品经理（小程序）,30k-50k,40,,,
毅诺网络科技,高级产品经理,20k-35k,27.5,,,
拍拍贷,产品经理,20k-30k,25,,,
上海慧士嘉信息技术有限公司,SaaS 产品经理,12k-20k,16,,,
GeexFinance,消费金融产品经理,15k-25k,20,,,
百得思维,产品经理（嘉定区）,10k-18k,14,,,
精锐教育,产品经理,15k-20k,17.5,,,
上海橡楠,产品经理,15k-20k,17.5,,,
盛付通,连尚钱包-高级产品经理,20k-40k,30,,,
杭州绝地科技股份有限公司,欧美产品经理,15k-30k,22.5,,,
VIP陪练,产品经理,15k-30k,22.5,,,
平安健康互联网,产品经理,16k-30k,23,,,
电银信息,高级产品经理,20k-35k,27.5,,,
海万科技,产品经理,8k-16k,12,,,
麦子金服,产品经理,15k-30k,22.5,,,
黑桃互动,商务/BD/产品引进经理,8k-15k,11.5,,,
客佳,产品经理,10k-20k,15,,,
微盟,产品经理-CRM,18k-30k,24,,,
哈啰出行,数据产品经理(平台),20k-35k,27.5,,,
金大师,产品经理,15k-25k,20,,,
爱客CRM,高级产品经理,15k-30k,22.5,,,
美团点评,产品经理,20k-40k,30,,,
上海青客,产品经理,15k-25k,20,,,
申通快递,产品工程师,10k-20k,15,,,
韩创科技,产品经理,15k-25k,20,,,
字节跳动,AI产品经理,20k-40k,30,,,
OFFWAY,app产品经理,15k-30k,22.5,,,
泰为,高级产品经理,25k-40k,32.5,,,
海万科技,产品经理,9k-16k,12.5,,,
上海青客,产品经理,15k-25k,20,,,
哈啰出行,资深产品经理,20k-35k,27.5,,,
趣头条,数据产品经理,20k-40k,30,,,
2345.com,浏览器产品经理,10k-18k,14,,,
Putao,产品经理,10k-20k,15,,,
万由电子,软件产品经理,8k-16k,12,,,
速拉,产品经理/助理,5k-7k,6,,,
叽里呱啦,产品经理,20k-30k,25,,,
东方头条,产品经理,15k-25k,20,,,
探知数据,数据产品经理,18k-35k,26.5,,,
联众金融,数据产品经理,15k-30k,22.5,,,
数宽,产品经理,15k-25k,20,,,
高顿教育集团,资深产品经理,25k-50k,37.5,,,
GeexFinance,电商产品经理/总监,15k-25k,20,,,
海万科技,产品经理,10k-20k,15,,,
上海青客,产品经理,15k-25k,20,,,
趣头条,产品经理（C端）,15k-30k,22.5,,,
微盟,产品经理,10k-20k,15,,,
快牛金科,后端产品经理,15k-30k,22.5,,,
方付通,高级产品经理,15k-30k,22.5,,,
眸事网,大数据产品经理,25k-40k,32.5,,,
发网,产品经理,18k-25k,21.5,,,
萃问,产品经理,18k-30k,24,,,
哈啰出行,资深产品经理,20k-35k,27.5,,,
悠络客,AI产品经理,20k-30k,25,,,
金大师,产品经理,15k-25k,20,,,
韩创科技,产品经理,10k-20k,15,,,
TutorABC英语,产品经理,18k-22k,20,,,
新潮传媒,信息化产品经理,12k-20k,16,,,
海万科技,产品经理,10k-15k,12.5,,,
三少猩球,资深产品经理,15k-25k,20,,,
TutorABC英语,产品经理,18k-22k,20,,,
金大师,产品经理,15k-25k,20,,,
新潮传媒,信息化产品经理,12k-20k,16,,,
Datatist,数据产品经理,20k-40k,30,,,
圆通,电商产品经理,12k-24k,18,,,
红星美凯龙互联网集团,数据产品经理,15k-30k,22.5,,,
上海青客,产品经理,15k-25k,20,,,
房价网,数据产品经理,20k-30k,25,,,
拍拍贷,产品经理,20k-35k,27.5,,,
优复教育,产品经理,10k-20k,15,,,
我奇,产品经理,12k-20k,16,,,
格林豪泰,产品工程师,6k-10k,8,,,
韩创科技,产品经理,15k-30k,22.5,,,
海万科技,产品经理,10k-15k,12.5,,,
新潮传媒,业务产品经理,20k-40k,30,,,
辉通科技,产品经理,15k-25k,20,,,
假面科技,高级产品经理,15k-20k,17.5,,,
杭州辽量数字科技有限公司,产品经理,15k-25k,20,,,
齐家网,产品经理,15k-30k,22.5,,,
快快贷,互联网产品经理（消费金融）,25k-35k,30,,,
魔视智能,产品经理,10k-20k,15,,,
悠络客,AI产品经理,20k-30k,25,,,
途虎养车网,资深产品经理,20k-35k,27.5,,,
上海众调科技,产品经理,10k-18k,14,,,
有鱼金融科技,产品经理,10k-20k,15,,,
闪电降价APP,产品经理（小程序）,15k-30k,22.5,,,
NetArtist,产品工程师,8k-12k,10,,,
麦广互娱,产品经理,10k-20k,15,,,
海万科技,产品经理,10k-20k,15,,,
新潮传媒,数据产品经理,20k-40k,30,,,
有鱼金融科技,产品经理【徐汇】,10k-20k,15,,,
平安金服,产品经理岗,12k-18k,15,,,
热璞科技,产品经理,18k-25k,21.5,,,
同程金服,app产品经理,15k-25k,20,,,
康管家,产品经理,10k-20k,15,,,
途家网,产品经理,18k-35k,26.5,,,
脉策数据,产品经理,10k-16k,13,,,
Versa,产品经理,15k-20k,17.5,,,
字节跳动,AI产品经理-实习生,3k-6k,4.5,,,
遨游酒店信息技术(深圳)有限责任公司,产品经理,15k-30k,22.5,,,
爱客CRM,高级产品经理,20k-30k,25,,,
上海印鹰happyeasygo,产品经理(海外OTA),15k-20k,17.5,,,
易果生鲜,云象供应链产品经理,15k-28k,21.5,,,
海万科技,产品经理,12k-17k,14.5,,,
什马金融,产品经理,14k-28k,21,,,
韩创科技,产品经理,18k-25k,21.5,,,
途虎养车网,互联网产品经理,10k-15k,12.5,,,
寻找母星,产品经理,16k-32k,24,,,
介谷,资深产品经理,20k-25k,22.5,,,
播了么,产品经理（信息化）,20k-40k,30,,,
嗨住,产品经理,15k-25k,20,,,
泰笛洗涤,高级产品经理,20k-35k,27.5,,,
有鱼金融科技,产品经理,15k-30k,22.5,,,
信息发展,产品经理,10k-20k,15,,,
名片全能王,企业服务产品经理,10k-18k,14,,,
麦子金服,产品经理,20k-25k,22.5,,,
妈妈帮,高级产品经理,15k-30k,22.5,,,
拍拍贷,产品经理-用户增长方向,25k-40k,32.5,,,
海万科技,产品经理,10k-13k,11.5,,,
妈妈帮,高级产品经理,15k-30k,22.5,,,
拍拍贷,产品经理-用户增长方向,25k-40k,32.5,,,
奇虎360金融,金融产品经理,20k-40k,30,,,
途虎养车网,数据产品经理,15k-25k,20,,,
韩创科技,产品经理,15k-30k,22.5,,,
佰路得,产品经理,20k-30k,25,,,
摩天轮,产品经理,20k-30k,25,,,
买单侠,金融产品经理,15k-25k,20,,,
小i机器人,产品经理,15k-25k,20,,,
Datatist,数据产品经理,15k-30k,22.5,,,
美浮特,数据产品经理,15k-25k,20,,,
UCloud,产品经理,15k-30k,22.5,,,
石游网络,产品经理,7k-14k,10.5,,,
中国银联,产品经理,25k-50k,37.5,,,
海万科技,产品经理,8k-15k,11.5,,,
中国银联,产品经理,25k-50k,37.5,,,
GET,互联网媒体产品经理,15k-30k,22.5,,,
趣头条,电商产品经理,15k-25k,20,,,
有鱼金融科技,产品经理,12k-24k,18,,,
狮博,高级产品经理,20k-40k,30,,,
假面科技,产品经理,12k-16k,14,,,
金大师,产品经理,12k-20k,16,,,
GeexFinance,金融/电商/社区产品经理,15k-25k,20,,,
乐车邦,产品经理,15k-20k,17.5,,,
上海百秋,产品经理,20k-30k,25,,,
YBDL,产品经理,18k-25k,21.5,,,
863软件,产品经理,20k-30k,25,,,
