Title,Company,Salary,AverageSalary,,AverageSalary,pinglu
信用算力,资深Java开发工程师,20k-30k,25,,,
红星美凯龙互联网集团,Java高级工程师,25k-35k,30,,,
安心记加班,java开发工程师,15k-30k,22.5,,,
上海恒格信息,Java开发工程师,15k-20k,17.5,,,
樊登读书,服务端中高级开发- Java,15k-30k,22.5,,,
票牛网,高级java工程师,13k-18k,15.5,,,
霸虎基金,JAVA开发工程师,13k-18k,15.5,,,
拉卡拉云商网络有限公司,JAVA开发工程师,15k-20k,17.5,,,
鸿研物流,Java开发工程师,20k-25k,22.5,,,
携程,JAVA开发工程师,15k-30k,22.5,,,
闻善科技,java开发工程师,25k-45k,35,,,
新脉,Java开发工程师,10k-15k,12.5,,,
海万科技,java,13k-18k,15.5,,,
沪江,高级Java开发工程师 (MJ000806),15k-30k,22.5,,,
哈啰出行,高级Java工程师,15k-25k,20,,,
网达软件,Java开发工程师,10k-20k,15,,,
CLPS,java工程师,14k-18k,16,,,
电银信息,java开发工程师,12k-24k,18,,,
播呗,java工程师,25k-35k,30,,,
红星美凯龙互联网集团,java高级工程师,18k-25k,21.5,,,
MoSeeker仟寻,高级Java工程师,15k-25k,20,,,
鼐鼐家软件,高级Java开发工程师,8k-15k,11.5,,,
美莱集团,Java开发工程师（HIS）,15k-25k,20,,,
哈啰出行,资深Java开发,15k-30k,22.5,,,
叮咚买菜,中级JAVA开发,15k-20k,17.5,,,
裕宁科技,Java资深开发工程师,10k-20k,15,,,
海万科技,Java开发工程师,10k-15k,12.5,,,
联蔚科技,Java资深开发,25k-35k,30,,,
上海砸立,Java开发工程师,20k-30k,25,,,
嬴客网络,Java开发高级工程师,25k-35k,30,,,
太平金科,JAVA开发岗（微服务）,10k-20k,15,,,
Charles&Keith,Java开发工程师,8k-16k,12,,,
上海驰勤,Java开发（徐家汇）,10k-20k,15,,,
银生宝,Java开发工程师（微度）,15k-25k,20,,,
天鲜配,Java开发工程师/Java专家,17k-34k,25.5,,,
快仓智能仓储,高级Java开发工程师,25k-40k,32.5,,,
CLPS,java开发工程师,12k-20k,16,,,
Datatist,高级Java开发工程师（急）,20k-40k,30,,,
海万科技,JAVA开发工程师,12k-18k,15,,,
DaDa,初、中级Java开发工程师,13k-25k,19,,,
银科控股,高级Java开发工程师,15k-25k,20,,,
上海阜登,高级Java开发工程师,25k-36k,30.5,,,
圆通,中级Java开发工程师,12k-24k,18,,,
独立日,高级JAVA开发工程师（高级/资深）,15k-25k,20,,,
Gridsum 国双,资深JAVA软件开发工程师,20k-30k,25,,,
ZStack,高级java开发工程师,30k-50k,40,,,
上海创蓝文化传播有限公司,资深Java开发工程师,30k-45k,37.5,,,
NSOC大数据安全智能,Java高级开发工程师,10k-20k,15,,,
盛付通,资深Java开发工程师,15k-20k,17.5,,,
富友,java开发工程师,15k-25k,20,,,
汉得信息,java中级软件工程师,10k-15k,12.5,,,
杏仁医生,资深 Java 工程师,20k-40k,30,,,
眸事网,高级java,20k-30k,25,,,
海万科技,Java开发工程师,10k-15k,12.5,,,
DaDa,中级java开发工程师,12k-20k,16,,,
ZStack,资深java开发工程师,30k-50k,40,,,
顺网科技,高级java开发工程师（网安）,18k-25k,21.5,,,
途虎养车网,中级Java开发工程师,12k-20k,16,,,
天会皓闻,资深java开发工程师,20k-30k,25,,,
安畅网络,Java软件工程师,15k-25k,20,,,
CQASO,Java中高级开发工程师,15k-30k,22.5,,,
尚诚消费金融,高级JAVA开发工程师,15k-30k,22.5,,,
美莱集团,Java开发工程师,16k-25k,20.5,,,
驿氪科技EZR,java高级开发工程师,20k-25k,22.5,,,
高顿教育集团,高级java开发工程师,15k-30k,22.5,,,
方付通,java开发,15k-30k,22.5,,,
上海你我贷互联网金融信息服务,资深Java开发工程师,15k-30k,22.5,,,
星合金融科技,Java中级工程师,15k-25k,20,,,
海万科技,JAVA开发工程师,12k-18k,15,,,
DaDa,高级、资深Java开发工程师,25k-45k,35,,,
斯维登集团,Java开发工程师,15k-20k,17.5,,,
证通股份,中级Java软件工程师,20k-25k,22.5,,,
上海驰勤,java高级开发工程师,13k-20k,16.5,,,
瑛麒动漫,中级java开发工程师,15k-20k,17.5,,,
上海睿渠,高级Java开发工程师,15k-20k,17.5,,,
城家公寓,高级java开发工程师,15k-30k,22.5,,,
圆通,高级Java开发工程师,15k-30k,22.5,,,
哔哩哔哩,资深Java开发工程师,30k-45k,37.5,,,
安畅网络,java开发工程师,15k-30k,22.5,,,
矩阵同创,Java高级开发工程师,15k-30k,22.5,,,
电视猫MoreTV,高级JAVA开发工程师,15k-25k,20,,,
方付通,Java开发工程师,15k-30k,22.5,,,
径卫视觉,高级java开发工程师,20k-30k,25,,,
海万科技,JAVA开发工程师,12k-17k,14.5,,,
证通股份,java资深开发工程师,25k-50k,37.5,,,
圆通,Java高级开发工程师,15k-30k,22.5,,,
DaDa,高级/资深Java开发工程师,25k-45k,35,,,
晋消,Java开发工程师（中高级）,15k-30k,22.5,,,
酷拓,java高级开发工程师,18k-28k,23,,,
数字坊,JAVA高级开发工程师,15k-25k,20,,,
稻壳互联,资深Java开发工程师,15k-30k,22.5,,,
第一秒电商科技,高级java开发工程师,18k-22k,20,,,
美莱集团,JAVA工程师,17k-24k,20.5,,,
上海中软华腾软件系统有限公司,java,12k-18k,15,,,
东方福利网,高级JAVA工程师,20k-30k,25,,,
Dfocus,资深Java工程师,20k-40k,30,,,
