Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
工程师爸爸,产品经理,20k-40k,30.0,"
                    
                ","“千万级用户,音频绘彩图”","移动互联网,教育",B轮,0
TapTap,产品经理,20k-30k,25.0,"
                    
                        ","“共同成长,老板带”","游戏,社交网络",B轮,0
树融科技,产品经理--大数据产品,15k-25k,20.0,"
                    
                        ","“扁平化管理,快乐工作,学习氛围”","企业服务,数据服务",天使轮,0
上海知墨,产品经理,10k-20k,15.0,"
                    
                        ","“弹性工作,师从大牛,福利完善,交通便利”",教育,不需要融资,0
卯聚信息科技,产品经理,15k-30k,22.5,"
                    
                        ",“心有多大，舞台就有多大”,数据服务 移动互联网,不需要融资,0
天会皓闻,产品经理,15k-25k,20.0,"
                    
                        ","“五险一金,补充医疗,年底多薪”",移动互联网,不需要融资,0
上海砸立,增长产品经理,12k-24k,18.0,"
                    
                        ","“五险一金,年薪双薪”","移动互联网,电子商务",B轮,0
弘连网络,产品经理,9k-18k,13.5,"
                    
                ",“五险一金 年底多薪 弹性工作制”,数据服务,未融资,0
腾讯大申网,产品经理,8k-15k,11.5,"
                    
                        ","“智慧项目,客户需求,解决方案”",文化娱乐,未融资,0
源慧信息,产品经理,10k-15k,12.5,"
                    
                        ",“福利待遇好”,O2O,上市公司,0
互易网（厂家到厂家）,产品经理,15k-20k,17.5,"
                    
                        ","“带薪病假,平级化管理,五险一金,Top团队”",电子商务,未融资,0
快牛金科,产品经理,15k-25k,20.0,"
                    
                ",“五险一金，绩效奖金，弹性工作制，定期体检”,其他,B轮,0
上海广拓信息技术有限公司,产品经理,12k-18k,15.0,"
                    
                        ","“厂家,行业第一,企业氛围好,交通便利”",硬件,未融资,0
途虎养车网,产品经理,15k-20k,17.5,"
                    
                        ","“扁平化管理,晋升空间大,公司氛围好”",移动互联网,D轮及以上,0
波罗蜜 日韩购,产品经理,10k-15k,12.5,"
                    
                        ",“国际团队、高手众多、晋升潜力大”,"移动互联网,电子商务",B轮,0
海万科技,产品经理,8k-15k,11.5,"
                    
                        ","“节日礼金,年底奖金,体检旅游,带薪年假”","移动互联网,金融",不需要融资,0
上海彩付,产品经理,15k-25k,20.0,"
                    
                        ","“交通便捷,扁平管理”","O2O,生活服务",未融资,0
平安金服,1211F9-产品经理,16k-20k,18.0,"
                    
                        ","“定期体检,免费班车,五险一金,带薪年假”","金融,数据服务",上市公司,0
美莱集团,产品经理,18k-35k,26.5,"
                    
                        ",“发展前景好 公司环境好 领导NICE”,"医疗健康,电子商务",不需要融资,0
达观数据,产品经理,15k-25k,20.0,"
                    
                ","“AI+金融,给力团队,准独角兽,发展空间大”",人工智能,B轮,0
梵慈沫,产品经理,20k-40k,30.0,"
                    
                        ","“精益创业,硅谷文化,丰厚待遇,公司福利”",电子商务,不需要融资,0
稻壳互联,产品经理,10k-20k,15.0,"
                    
                ","“弹性工作,快速发展,扁平管理,互联网咨询”",企业服务,不需要融资,0
透云科技,产品经理,15k-30k,22.5,"
                    
                        ",“大数据、行业领导者地位，知名企业合作对象”,"移动互联网,数据服务",上市公司,0
Spacecycle,产品经理,15k-20k,17.5,"
                    
                        ",“良好的办公环境”,文化娱乐 生活服务,A轮,0
华云数据,303-高级产品经理,20k-35k,27.5,"
                    
                        ",“各项补贴 年假病假 团建旅游”,"移动互联网,数据服务",D轮及以上,0
UCloud,校招-产品经理,10k-20k,15.0,"
                    
                        ","“六险一金,领导好,独角兽公司,弹性工作”","数据服务,企业服务",D轮及以上,0
麦图科技,产品经理,12k-24k,18.0,"
                    
                ","“发展潜力,弹性工作,扁平管理”",数据服务,A轮,0
易路,产品经理,12k-17k,14.5,"
                    
                        ","“五险一金,带薪年假,薪资有竞争,人性化管理”","移动互联网,企业服务",A轮,0
叶檀财经,产品经理/总监,15k-30k,22.5,"
                    
                        ","“老板好,福利好”",金融,A轮,0
青桐资本,产品经理,10k-18k,14.0,"
                    
                        ","“互联网投行,精英团队,五险二金,年度旅游”",金融,不需要融资,0
上海阜登,高级产品经理,20k-36k,28.0,"
                    
                ","“数据分析,金融,产品设计”",金融,不需要融资,0
源耀生物,产品经理,15k-25k,20.0,"
                    
                        ",“五险一金、旅游、年终奖金、体检、包吃住”,其他,上市公司,0
上海劳勤,产品经理,20k-25k,22.5,"
                    
                        ","“免费体检,免费旅游”",数据服务,A轮,0
天泽智云,产品经理-工业物联网,18k-28k,23.0,"
                    
                        ",“行业领先 六险一金 发展前景”,企业服务,A轮,0
九曳供应链,高级产品经理,20k-25k,22.5,"
                    
                ",“发展有前景”,"电子商务,数据服务",C轮,0
叶檀财经,产品主管/经理,8k-15k,11.5,"
                    
                        ",“福利好，包吃午餐及晚餐，周末双休”,金融,A轮,0
特赞|Tezign,产品经理,20k-40k,30.0,"
                    
                        ",“上班不打卡、扁平化管理、全员持股计划”,移动互联网,B轮,0
易路,产品经理,15k-25k,20.0,"
                    
                        ",“处于移动SaaS风口，千万级风投，上升空间大”,"移动互联网,企业服务",A轮,0
