Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
场鲸科技,产品经理,15k-30k,22.5,"
                    
                        ","“扁平化管理,弹性工作制,学习空间,行业大佬”","移动互联网,企业服务",未融资,0
源石云,产品经理,10k-15k,12.5,"
                    
                        ","“领导好,免费下午茶,薪资丰厚,工作氛围好”","移动互联网,电子商务",B轮,0
旗发科技,产品经理,15k-25k,20.0,"
                    
                ","“福利优厚,环境舒适,上市公司,扁平管理”","移动互联网,数据服务",上市公司,0
方付通,高级产品经理,15k-25k,20.0,"
                    
                        ","“年底双薪,BAT团队,前景无限”","移动互联网,金融",不需要融资,0
有鱼金融科技,产品经理【徐汇】,10k-20k,15.0,"
                    
                ",“多平台，快发展，精英团队，无限发挥！”,"移动互联网,金融",不需要融资,0
三体云动 【森融网络】,产品经理,15k-30k,22.5,"
                    
                        
                            ","“晋升快,福利好,氛围好,阿里系”",移动互联网,B轮,0
ParkLU,产品经理,15k-25k,20.0,"
                        
                    
                        
                            ",“福利待遇好，外企氛围，行业前景好”,电子商务,A轮,0
QIWi柒维,产品经理,8k-16k,12.0,"
                        
                    
                        
                            ",“期权股份”,"教育,医疗健康",不需要融资,0
翊劢,产品经理,8k-11k,9.5,"
                        
                    
                        
                            ",“福利待遇好，工作时间弹性自由！”,企业服务 数据服务,不需要融资,0
新潮传媒,数据产品经理,15k-25k,20.0,"
                        
                    
                ","“数据分析,数据可视化,数据化运营”","移动互联网,广告营销",A轮,0
吉买Jbuy,产品经理,10k-15k,12.5,"
                    
                        ","“项目好,团队和谐,技术氛围好,快速成长”","移动互联网,电子商务",不需要融资,0
千寻位置,测量产品经理,20k-40k,30.0,"
                    
                        ",“薪资福利优、发展前景好”,移动互联网,不需要融资,0
乐车邦,产品经理,15k-20k,17.5,"
                    
                        ","“扁平管理,发展空间大”","移动互联网,O2O",B轮,0
韩创科技,产品经理,15k-25k,20.0,"
                    
                        ","“产品,产品运营,产品策划”","移动互联网,文化娱乐",不需要融资,0
掌门1对1在线教育,高级产品经理,15k-25k,20.0,"
                    
                ","“独角兽,技术前沿,14薪”","移动互联网,教育",D轮及以上,0
云俱阵,云产品研发经理,20k-30k,25.0,"
                    
                        ","“五险一金,弹性工作,扁平管理,地铁沿线”",其他,A轮,0
映春科技,产品经理,6k-12k,9.0,"
                    
                        ",“福利好，发展空间大”,人工智能,不需要融资,0
浙江执御信息技术有限公司,产品经理（航旅方向）,20k-30k,25.0,"
                    
                        ","“平台上升期,共同成长,公司前景好,领导好”","移动互联网,数据服务",C轮,0
浙江执御信息技术有限公司,产品经理（航旅方向）,20k-30k,25.0,"
                    
                        ","“平台上升期,共同成长,公司前景好,领导好”","移动互联网,数据服务",C轮,0
海知智能,产品经理（all-level),15k-30k,22.5,"
                    
                        ","“以人为中心,设计驱动,人工智能”","移动互联网,数据服务",A轮,0
尚标知识产权集团,产品经理,10k-20k,15.0,"
                    
                ","“行业前景,公司平台,期权,团队氛围”","O2O,移动互联网",未融资,0
携车网,产品经理,10k-20k,15.0,"
                    
                        ",“有趣”,O2O,上市公司,0
讯联数据,产品经理,8k-16k,12.0,"
                    
                        ",“奖金，旅游，健身及家人健康计划，员工期权”,金融,A轮,0
上海商桥供应链服务有限公司,产品经理,16k-23k,19.5,"
                    
                ",“发展空间大”,生活服务,A轮,0
Versa,高级产品经理,20k-30k,25.0,"
                    
                        ","“AI,扁平化,弹性工作,交通方便”","移动互联网,文化娱乐",A轮,0
魔窗,产品经理,15k-25k,20.0,"
                    
                        ","“股票期权,扁平管理,弹性工作,健身福利”","移动互联网,企业服务",B轮,0
上海友极网络科技有限公司,产品经理,15k-20k,17.5,"
                    
                        ",“发展前景好”,"移动互联网,企业服务",不需要融资,0
译会科技,产品经理,25k-40k,32.5,"
                    
                        ","“员工旅游,定期体检,五险一金”","金融,移动互联网",天使轮,0
申通快递,产品工程师,10k-20k,15.0,"
                    
                        ","“双休,饭补,五险一金,节日”",生活服务,上市公司,0
阅文集团,产品部-产品经理,12k-24k,18.0,"
                    
                        ","“平台好,用户量大,弹性,福利好”",移动互联网,上市公司,0
去练（上海）,产品经理,9k-15k,12.0,"
                    
                ","“产品团队牛,扁平化管理,市中心办公,发展前景好”",移动互联网,未融资,0
东方支付,产品经理,10k-18k,14.0,"
                    
                        ",“福利好，前景棒”,"移动互联网,电子商务",不需要融资,0
领健信息,高级产品经理-上海张江-00183,15k-30k,22.5,"
                    
                        ",“团队牛，产品好，发展空间大，五险一金”,"移动互联网,医疗健康",B轮,0
