Company,positionName,Salary,AverageSalary,Labels,Welfare,classification,Financing,personsNumber
诺亚财富,交互设计师,10k-20k,15.0,,"“待遇好,环境优,美女多,福利佳”",金融,上市公司,
金大师,交互设计师,15k-25k,20.0,,“视频公司，氛围好”,"移动互联网,金融",上市公司,
Teambition,交互设计师,15k-30k,22.5,,"“高速发展,注重设计,氛围好”","移动互联网,企业服务",B轮,
趣头条,交互设计leader,20k-35k,27.5,,"“行业独角兽,技术部助理,工作氛围好,弹性”",移动互联网,上市公司,
前隆科技,高级交互设计师,15k-25k,20.0,,“腾讯大博士亲带，福利好”,金融,B轮,
UCloud,校招-视觉/交互设计师,10k-20k,15.0,,"“六险一金,领导好,独角兽公司,弹性工作”","数据服务,企业服务",D轮及以上,
海万科技,交互设计师,8k-14k,11.0,,"“体检,旅游,过节费,年终奖”","移动互联网,金融",不需要融资,
CreditX,交互设计师,10k-20k,15.0,,"“扁平管理,弹性工作,福利优厚,精英团队”","金融,数据服务",B轮,
ezbuy,交互设计师,10k-20k,15.0,,"“带薪年假多,弹性办公,跨境电商”","电子商务,生活服务",C轮,
万科,交互设计师,15k-30k,22.5,,"“福利好,大平台,发展空间大,互联网变革”","生活服务,硬件",上市公司,
朔夜网络,交互设计师,10k-20k,15.0,,"“成长快,领导好,10+年假,做五休二”","移动互联网,游戏",A轮,
谷露软件,交互设计师,20k-25k,22.5,,"“五险一金,包两餐,年终奖,奖金多”","数据服务,招聘",A轮,
韩创科技,交互设计师,18k-25k,21.5,,"“五险一金,周末双休,绩效奖金,带薪年假”","移动互联网,文化娱乐",不需要融资,
狮博,交互设计师,10k-20k,15.0,,"“空间大,餐补,旅游基金,弹性工作”",其他、生活服务,不需要融资,
AIDIVI,多媒体交互设计师,15k-25k,20.0,,“发展空间大，培训&旅游，多福利。”,"其他,移动互联网",未融资,
IntraMirror,交互设计师,15k-25k,20.0,,“技术挑战；管理扁平；发展空间大”,移动互联网,A轮,
爱库存,高级交互设计师,15k-25k,20.0,,"“福利待遇优,免费中晚餐,办公环境优,团队氛围好”",电子商务,B轮,
阅文集团,交互设计师,15k-30k,22.5,,"“福利佳,年终奖”",移动互联网,上市公司,
中腾信,交互设计师,12k-18k,15.0,,"“福利年休假,高温补贴,丰厚奖金”",金融,不需要融资,
莉莉丝游戏,交互设计师,10k-20k,15.0,,“海外旅游团建 五险一金 年终奖 零食饮料”,"移动互联网,游戏",不需要融资,
脉云,交互设计师,8k-15k,11.5,,“五险一金，十三薪，节日礼物，氛围好”,"企业服务,数据服务",不需要融资,
AIDIVI,交互设计助理,10k-15k,12.5,,“发展空间大，培训&旅游，多福利。”,"其他,移动互联网",未融资,
2144游戏,交互设计师,8k-12k,10.0,,“福利好”,"移动互联网,游戏",不需要融资,
韩创科技,交互设计师,12k-24k,18.0,,"“发展空间大,扁平化管理,学习型组织”","移动互联网,文化娱乐",不需要融资,
